Chain,RecordTime,Delay
Chain4,32535,855
Chain1,32570,250
Chain2,32627,227
Chain4,32629,829
Chain3,32637,317
Chain1,32668,268
Chain2,32681,181
Chain1,32739,259
Chain4,32752,832
Chain3,32760,280
Chain2,32777,177
Chain1,32836,276
Chain4,32846,806
Chain2,32852,152
Chain1,32869,229
Chain3,32939,299
Chain1,32955,235
Chain4,32958,798
Chain2,32969,169
Chain1,33030,230
Chain3,33060,260
Chain2,33069,169
Chain4,33089,809
Chain1,33127,247
Chain2,33151,151
Chain3,33159,199
Chain1,33196,236
Chain4,33233,833
Chain2,33240,140
Chain1,33266,226
Chain4,33298,778
Chain1,33334,214
Chain2,33352,152
Chain3,33360,240
Chain1,33434,234
Chain4,33437,797
Chain2,33448,148
Chain3,33456,176
Chain1,33500,220
Chain2,33541,141
Chain4,33544,784
Chain1,33585,225
Chain2,33591,91
Chain3,33599,159
Chain1,33644,204
Chain2,33700,100
Chain4,33755,875
Chain3,33767,167
Chain1,33803,283
Chain1,33874,274
Chain2,33892,192
Chain1,33951,271
Chain4,33954,954
Chain2,33996,196
Chain1,34035,275
Chain3,34054,294
Chain4,34057,937
Chain2,34063,163
Chain1,34079,239
Chain1,34155,235
Chain4,34171,931
Chain2,34178,178
Chain3,34186,266
Chain1,34251,251
Chain2,34269,169
Chain4,34289,929
Chain3,34297,217
Chain1,34338,258
Chain2,34365,165
Chain1,34399,239
Chain4,34427,947
Chain2,34440,140
Chain1,34466,226
Chain3,34474,234
Chain4,34523,923
Chain1,34545,225
Chain2,34552,152
Chain3,34599,199
Chain1,34636,236
Chain4,34652,932
Chain2,34659,159
Chain1,34724,244
Chain2,34741,141
Chain4,34744,904
Chain3,34770,210
Chain1,34786,226
Chain2,34823,123
Chain1,34856,216
Chain3,34868,148
Chain4,34893,933
Chain1,34930,210
Chain2,34958,158
Chain4,34988,908
Chain1,35025,225
Chain2,35031,131
Chain3,35039,159
Chain1,35088,208
Chain4,35122,922
Chain2,35129,129
Chain3,35174,134
Chain1,35191,231
Chain2,35197,97
Chain4,35200,880
Chain1,35255,215
Chain2,35301,101
Chain1,35384,264
Chain4,35387,947
Chain3,35395,195
Chain1,35458,258
Chain2,35492,192
Chain4,35534,974
Chain1,35571,291
Chain2,35577,177
Chain1,35632,272
Chain4,35659,979
Chain3,35667,307
Chain2,35673,173
Chain1,35694,254
Chain4,35735,935
Chain1,35758,238
Chain2,35827,227
Chain3,35835,315
Chain1,35855,255
Chain4,35858,938
Chain2,35871,171
Chain1,35939,259
Chain3,35958,278
Chain4,35961,921
Chain2,35967,167
Chain1,36028,268
