Chain,RecordTime,Frequency
Chain3,23029,4.31768
Chain1,23037,12.531
Chain2,23075,10.5869
Chain1,23099,13.2662
Chain4,23150,7.9161
Chain3,23152,4.91899
Chain2,23160,10.2133
Chain1,23195,12.321
Chain4,23243,9.6519
Chain2,23246,12.185
Chain1,23252,13.9603
Chain3,23325,6.4343
Chain1,23339,12.5208
Chain2,23355,10.6964
Chain4,23366,8.84553
Chain1,23393,15.1555
Chain3,23452,7.10653
Chain2,23460,10.0264
Chain4,23487,8.90405
Chain1,23496,12.3167
Chain2,23533,10.4482
Chain3,23553,7.47923
Chain1,23580,12.454
Chain4,23630,7.74817
Chain2,23633,10.8051
Chain1,23640,12.1804
Chain4,23695,9.12246
Chain3,23697,8.05178
Chain1,23726,13.0289
Chain2,23753,10.2085
Chain1,23797,13.7878
Chain4,23834,8.62686
Chain2,23837,9.86143
Chain3,23848,7.57204
Chain1,23874,12.8042
Chain2,23932,10.0247
Chain4,23941,9.64663
Chain1,23969,12.3762
Chain2,23985,12.9698
Chain3,23991,6.85092
Chain1,24028,13.0323
Chain2,24086,12.0526
Chain3,24143,6.74005
Chain4,24165,6.38675
Chain1,24167,10.2269
Chain1,24240,11.0324
Chain2,24285,8.48812
Chain1,24331,9.89548
Chain4,24351,5.80365
Chain2,24361,7.98233
Chain1,24395,13.138
Chain3,24446,5.01661
Chain4,24454,5.852
Chain2,24456,8.09558
Chain1,24463,13.4745
Chain1,24534,14.7362
Chain4,24569,7.42138
Chain2,24571,10.4931
Chain3,24578,5.11348
Chain1,24619,13.4467
Chain2,24662,9.95172
Chain4,24687,8.94364
Chain1,24689,13.2612
Chain3,24744,4.99127
Chain2,24758,9.9506
Chain1,24783,12.0859
Chain4,24830,7.96916
Chain2,24833,11.4728
Chain1,24840,13.5792
Chain3,24898,6.64104
Chain4,24926,8.39339
Chain1,24929,12.5234
Chain2,24945,10.598
Chain3,24991,7.26602
Chain1,24999,13.8714
Chain4,25049,8.27375
Chain2,25052,10.2036
Chain1,25077,12.6553
Chain2,25130,10.08
Chain4,25137,9.77441
Chain3,25162,7.17109
Chain1,25170,12.4452
Chain2,25197,11.8997
Chain1,25234,12.7813
Chain3,25260,8.27465
Chain4,25290,8.24118
Chain1,25293,13.8722
Chain2,25341,10.3857
Chain4,25385,8.93841
Chain1,25388,13.786
Chain2,25424,10.2067
Chain3,25431,6.81577
Chain1,25471,12.6118
Chain4,25499,8.29734
Chain2,25522,9.23401
Chain1,25556,11.4091
Chain3,25582,7.13729
Chain2,25590,12.0276
Chain4,25597,9.78242
Chain1,25621,12.8668
Chain2,25687,11.4445
Chain3,25743,6.21842
Chain1,25762,10.3093
Chain4,25800,7.22586
Chain1,25844,10.4032
Chain2,25883,8.31828
Chain4,25942,6.76936
Chain1,25945,9.26332
Chain2,25989,7.52777
Chain1,25995,12.8781
Chain3,26056,4.80019
Chain4,26064,6.42219
Chain2,26067,7.89302
Chain1,26073,13.0938
Chain4,26132,9.02963
Chain1,26142,15.2195
Chain2,26200,9.46928
Chain3,26227,4.65368
Chain1,26235,12.5288
Chain4,26255,9.5754
Chain2,26265,10.8776
Chain1,26299,13.2623
Chain3,26350,4.93874
Chain4,26358,10.2076
Chain2,26361,10.2074
Chain1,26385,12.3185
Chain2,26433,12.8428
Chain1,26442,14.4966
Chain3,26497,6.79624
Chain4,26520,7.73726
Chain1,26523,13.4419
Chain2,26555,10.3179
Chain4,26591,8.93947
Chain1,26593,14.4065
Chain3,26654,7.02251
Chain2,26662,9.94869
Chain1,26687,12.2467
Chain4,26724,8.20253
Chain2,26733,10.0057
Chain3,26772,7.10606
Chain1,26780,11.655
Chain4,26830,9.66674
Chain2,26833,10.8014
Chain1,26840,12.1776
Chain3,26881,7.82977
Chain2,26918,11.7425
Chain1,26924,12.634
Chain4,26958,8.17672
Chain1,26987,14.4674
Chain2,27024,10.2959
Chain3,27031,7.96002
Chain4,27071,8.62555
Chain1,27074,12.8035
Chain2,27122,10.3811
Chain1,27166,12.4024
Chain4,27182,8.52448
Chain2,27185,11.2203
Chain3,27192,7.15193
Chain1,27228,12.49
Chain2,27272,12.1084
Chain3,27342,6.49531
Chain4,27363,7.41055
Chain1,27380,9.81908
Chain1,27446,10.7084
Chain4,27485,7.2462
Chain2,27488,8.19508
Chain1,27548,9.3641
Chain4,27571,7.72113
Chain1,27591,14.1598
Chain2,27652,6.42187
Chain3,27659,4.77892
Chain2,27667,7.60235
Chain1,27673,13.2108
Chain4,27732,8.11207
Chain1,27752,14.7078
Chain2,27800,9.62941
Chain4,27827,8.78282
Chain3,27830,4.70153
Chain1,27838,12.1873
Chain2,27875,13.4662
Chain1,27900,13.2636
Chain4,27950,7.91556
Chain3,27953,4.91788
Chain2,27961,10.2107
Chain1,27995,12.3199
Chain4,28043,9.65146
Chain2,28046,12.1871
Chain1,28052,13.9636
Chain3,28125,6.43353
Chain1,28139,12.5193
Chain4,28155,9.1375
Chain2,28158,10.5965
Chain1,28193,15.1529
Chain3,28252,7.10647
Chain2,28260,10.024
Chain4,28287,8.90198
Chain1,28296,12.3126
Chain2,28333,10.4449
Chain3,28354,7.47316
Chain1,28380,12.4495
Chain4,28422,7.9115
Chain2,28433,10.9041
Chain1,28440,12.178
Chain4,28495,8.82988
Chain3,28498,8.04942
Chain1,28526,13.0269
Chain2,28554,10.2069
Chain1,28598,13.7864
Chain4,28635,8.62641
Chain2,28637,9.86095
Chain3,28648,7.57097
Chain1,28674,12.8041
Chain2,28732,10.0238
Chain4,28741,9.40035
Chain1,28769,12.378
Chain2,28785,12.9708
Chain3,28792,6.85422
Chain1,28816,13.769
